date,people_vaccinated,people_fully_vaccinated,total_boosters
2021-01-28,0,0,0
2021-01-30,90000,0,0
2021-01-31,126000,0,0
2021-02-01,200081,0,0
2021-02-02,257291,0,0
2021-02-03,308398,0,0
2021-02-04,351723,0,0
2021-02-05,408235,0,0
2021-02-06,463966,0,0
2021-02-08,550149,0,0
2021-02-09,615181,0,0
2021-02-10,746116,0,0
2021-02-11,855318,0,0
2021-02-12,1112103,0,0
2021-02-13,1388539,0,0
2021-02-15,1707091,0,0
2021-02-16,1904169,0,0
2021-02-17,2081013,0,0
2021-02-18,2233123,0,0
2021-02-19,2357283,4867,0
2021-02-20,2447716,13476,0
2021-02-22,2552017,23667,0
2021-02-23,2635859,31232,0
2021-02-24,2911635,37310,0
2021-02-25,3160479,43626,0
2021-02-26,3327858,96437,0
2021-02-27,3435997,161906,0
2021-03-01,3568670,232980,0
2021-03-02,3657468,293857,0
2021-03-03,3745173,360689,0
2021-03-04,3820097,413032,0
2021-03-05,3877687,499942,0
2021-03-06,3913615,578942,0
2021-03-08,3961941,651351,0
2021-03-09,4017087,717113,0
2021-03-10,4080009,854274,0
2021-03-11,4130606,972079,0
2021-03-12,4169133,1224959,0
2021-03-13,4210770,1471738,0
2021-03-15,4225311,1767472,0
2021-03-16,4236386,1960996,0
2021-03-17,4244651,2116081,0
2021-03-19,4258813,2352348,0
2021-03-20,4264168,2423380,0
2021-03-22,4264761,2516742,0
2021-03-23,4265196,2593204,0
2021-03-24,4284060,2844916,0
2021-03-25,4289281,3071117,0
2021-03-26,4293544,3231742,0
2021-03-27,4302183,3332292,0
2021-03-29,4302897,3455603,0
2021-03-30,4315802,3566498,0
2021-03-31,4320349,3674251,0
2021-04-01,4329244,3767210,0
2021-04-02,4331082,3840569,0
2021-04-03,4348995,3891875,0
2021-04-05,4352033,3951023,0
2021-04-06,4382917,3992324,0
2021-04-07,4410023,4038083,0
2021-04-08,4433939,4075290,0
2021-04-09,4449047,4103257,0
2021-04-10,4471831,4134740,0
2021-04-11,4486628,4148610,0
2021-04-13,4495477,4155395,0
2021-04-14,4529399,4166701,0
2021-04-15,4554000,4174449,0
2021-04-16,4583664,4180155,0
2021-04-17,4655007,4186449,0
2021-04-19,4672326,4188336,0
2021-04-20,4684557,4193888,0
2021-04-21,4697873,4203779,0
2021-04-22,4707658,4207298,0
2021-04-23,4723635,4217485,0
2021-04-26,4731440,4219876,0
2021-04-27,4808303,4233682,0
2021-04-28,4985094,4254879,0
2021-04-30,5054642,4260412,0
2021-05-01,5055239,4260605,0
2021-05-03,5107128,4282269,0
2021-05-04,5231766,4326873,0
2021-05-05,5334087,4346867,0
2021-05-07,5429878,4363261,0
2021-05-08,5473809,4390752,0
2021-05-10,5726928,4404867,0
2021-05-11,5903593,4414056,0
2021-05-12,5994379,4441667,0
2021-05-14,6040109,4450986,0
2021-05-15,6171437,4500638,0
2021-05-17,6458947,4542426,0
2021-05-18,6768161,4581385,0
2021-05-19,7029682,4673903,0
2021-05-20,7267431,4748289,0
2021-05-21,7467468,4817830,0
2021-05-22,7635674,4831397,0
2021-05-24,7832620,4875332,0
2021-05-25,8168964,4996705,0
2021-05-31,8674931,5468470,0
2021-06-01,8772982,5640992,0
2021-06-02,8869486,5744957,0
2021-06-03,9072565,5840597,0
2021-06-05,9108843,5898644,0
2021-06-07,9216223,6163970,0
2021-06-08,9341497,6457177,0
2021-06-09,9354932,6687738,0
2021-06-10,9359017,6878656,0
2021-06-11,9362000,7047704,0
2021-06-12,9363220,7094691,0
2021-06-14,9365541,7324256,0
2021-06-15,9368046,7520331,0
2021-06-16,9369489,7683878,0
2021-06-17,9372198,7889708,0
2021-06-18,9374710,8057159,0
2021-06-19,9375240,8118841,0
2021-06-21,9594360,8451201,0
2021-06-23,9685199,8566567,0
2021-06-24,9756702,8675529,0
2021-06-25,9810963,8794393,0
2021-06-26,9822096,8822967,0
2021-06-28,9908882,8954030,0
2021-06-30,9993673,9116132,0
2021-07-01,10028791,9140785,0
2021-07-02,10059937,9159495,0
2021-07-03,10064283,9161960,0
2021-07-04,10067573,9162460,0
2021-07-05,10119393,9181595,0
2021-07-06,10160373,9194976,0
2021-07-07,10266670,9204753,0
2021-07-08,10317807,9213535,0
2021-07-09,10349861,9220292,0
2021-07-10,10356845,9221525,0
2021-07-11,10358218,9221657,0
2021-07-12,10552219,9310662,0
2021-07-13,10713551,9409395,0
2021-07-14,10854278,9489591,0
2021-07-15,11185961,9608887,0
2021-07-17,11213841,9619727,0
2021-07-18,11219675,9620665,0
2021-07-19,11555970,9736641,0
2021-07-22,11699533,9787143,0
2021-07-24,11728171,9794265,0
2021-07-25,11748418,9797720,0
2021-07-26,12061160,9864912,0
2021-07-27,12520195,9924212,0
2021-07-28,12971479,10015447,0
2021-07-29,13388726,10094160,0
2021-07-30,13537493,10111985,0
